"zip","city","county","pop"
"92130","San Diego","San Diego","55316"
"93215","Delano","Kern","55269"
"91406","Van Nuys","Los Angeles","55215"
"92840","Garden Grove","Orange","55186"
"92129","San Diego","San Diego","54986"
"91745","Hacienda Heights","Los Angeles","54975"
"91764","Ontario","San Bernardino","54825"
"90723","Paramount","Los Angeles","54776"
"95670","Rancho Cordova","Sacramento","54648"
"91801","Alhambra","Los Angeles","54479"
"94568","Dublin","Alameda","54420"
"92399","Yucaipa","San Bernardino","54163"
"92234","Cathedral City","Riverside","53961"
"92223","Beaumont","Riverside","53914"
"91786","Upland","San Bernardino","53849"
"92056","Oceanside","San Diego","53845"
"92025","Escondido","San Diego","53772"
"91304","Canoga Park","Los Angeles","53761"
"90220","Compton","Los Angeles","53703"
"93308","Bakersfield","Kern","53702"
"92870","Placentia","Orange","53582"
"95125","San Jose","Santa Clara","53574"
"92701","Santa Ana","Orange","53565"
"95376","Tracy","San Joaquin","53542"
"91344","Granada Hills","Los Angeles","53266"
"90018","Los Angeles","Los Angeles","53256"
"90002","Los Angeles","Los Angeles","53111"
"95350","Modesto","Stanislaus","53098"
"91913","Chula Vista","San Diego","53072"
"93277","Visalia","Tulare","53015"
"90063","Los Angeles","Los Angeles","52951"
"92833","Fullerton","Orange","52922"
"94539","Fremont","Alameda","52802"
"95023","Hollister","San Benito","52646"
"93313","Bakersfield","Kern","52637"
"95648","Lincoln","Placer","52394"
"90221","Compton","Los Angeles","52322"
"94601","Oakland","Alameda","52299"
"93003","Ventura","Ventura","52272"
"91605","North Hollywood","Los Angeles","52210"
"92656","Aliso Viejo","Orange","52124"
"92557","Moreno Valley","Riverside","52089"
"95616","Davis","Yolo","52088"
"95207","Stockton","San Joaquin","51879"
"95037","Morgan Hill","Santa Clara","51652"
"92024","Encinitas","San Diego","51496"
"92069","San Marcos","San Diego","51447"
"92084","Vista","San Diego","51419"
"92505","Riverside","Riverside","51322"
"92584","Menifee","Riverside","51298"
"95124","San Jose","Santa Clara","51170"
"93551","Palmdale","Los Angeles","51085"
"92128","San Diego","San Diego","51066"
"90703","Cerritos","Los Angeles","50963"
"93638","Madera","Madera","50894"
"92691","Mission Viejo","Orange","50782"
"90046","Los Angeles","Los Angeles","50587"
"92886","Yorba Linda","Orange","50545"
"92626","Costa Mesa","Orange","50541"
"94550","Livermore","Alameda","50500"
"92243","El Centro","Imperial","50484"
"90024","Los Angeles","Los Angeles","50288"
"91767","Pomona","Los Angeles","50264"
"95351","Modesto","Stanislaus","50079"
"93304","Bakersfield","Kern","49976"
"92064","Poway","San Diego","49933"
"92026","Escondido","San Diego","49921"
"94553","Martinez","Contra Costa","49699"
"94086","Sunnyvale","Santa Clara","49630"
"94014","Daly City","San Mateo","49515"
"90057","Los Angeles","Los Angeles","49492"
"90638","La Mirada","Los Angeles","49383"
"92028","Fallbrook","San Diego","49380"
"92111","San Diego","San Diego","49369"
"90630","Cypress","Orange","49169"
"91306","Winnetka","Los Angeles","49158"
